# Valid estimates generated by sparse beam search plus MITM verification
# Format required by the problem statement: @(r, u, v, VE, VT)
@(5, 0x000000E0, 0x04E00A44, 0.000499725341797, 0.000499725341797)
@(5, 0x000000E0, 0x04E00AEE, 0.000499725341797, 0.000499725341797)
@(5, 0x00E00000, 0x0044044A, 0.000499725341797, 0.000499725341797)
@(5, 0x00E00000, 0x004404E0, 0.000499725341797, 0.000499725341797)
@(5, 0x00E00000, 0x004404EA, 0.000499725341797, 0.000499725341797)
@(5, 0x00E00000, 0x00440E40, 0.000499725341797, 0.000499725341797)
@(5, 0x00E00000, 0x00440E4A, 0.000499725341797, 0.000499725341797)
@(5, 0x00E00000, 0x00440EE0, 0.000499725341797, 0.000499725341797)
@(5, 0x00E00000, 0x00EE0440, 0.000499725341797, 0.000499725341797)
@(5, 0x00E00000, 0x00EE044A, 0.000499725341797, 0.000499725341797)
@(5, 0x00E00000, 0x00EE04E0, 0.000499725341797, 0.000499725341797)
@(5, 0x00E00000, 0x00EE04EA, 0.000499725341797, 0.000499725341797)
@(5, 0x90000000, 0x87888088, -0.000496387481689, -0.000496387481689)
@(5, 0x90000000, 0x87888F77, 0.000496387481689, 0.000496387481689)
@(5, 0x90000000, 0x88888088, 0.000496387481689, 0.000496387481689)
@(5, 0x90000000, 0x88888F77, -0.000496387481689, -0.000496387481689)
@(5, 0x000E0000, 0x404000EE, 0.000482559204102, 0.000482559204102)
@(5, 0x000E0000, 0x4A4000EE, 0.000482559204102, 0.000482559204102)
@(5, 0x000E0000, 0x4A400A44, 0.000482559204102, 0.000482559204102)
@(5, 0x000000A0, 0x022008AA, 0.000457763671875, 0.000457763671875)
@(5, 0x000000A0, 0x022808AA, 0.000457763671875, 0.000457763671875)
@(5, 0x000000F0, 0x022008AA, -0.000457763671875, -0.000457763671875)
@(5, 0x000000F0, 0x022808AA, -0.000457763671875, -0.000457763671875)
@(5, 0x000D0000, 0x8480408C, 0.000457763671875, 0.000457763671875)
@(5, 0x00A00000, 0x00220A20, 0.000457763671875, 0.000457763671875)
@(5, 0x00A00000, 0x00220A28, 0.000457763671875, 0.000457763671875)
@(5, 0x00F00000, 0x00220A20, -0.000457763671875, -0.000457763671875)
@(5, 0x00F00000, 0x00220A28, -0.000457763671875, -0.000457763671875)
@(5, 0x0000000C, 0x00441045, -0.000444889068604, -0.000444889068604)
@(5, 0x000C0000, 0x10450044, -0.000429630279541, -0.000429630279541)
@(5, 0x000D0000, 0x802AC4C0, -0.000429153442383, -0.000429153442383)
@(5, 0x000D0000, 0x807FC4C0, -0.000429153442383, -0.000429153442383)
@(5, 0x000D0000, 0x80A2C4C0, -0.000429153442383, -0.000429153442383)
@(5, 0x000D0000, 0x80F7C4C0, -0.000429153442383, -0.000429153442383)
@(5, 0x000D0000, 0x852AC4C0, -0.000429153442383, -0.000429153442383)
@(5, 0x000D0000, 0x857FC4C0, -0.000429153442383, -0.000429153442383)
@(5, 0x000D0000, 0x85A2C4C0, 0.000429153442383, 0.000429153442383)
@(5, 0x000D0000, 0x85F7C4C0, 0.000429153442383, 0.000429153442383)
@(5, 0x0000000F, 0x817F408C, -0.000418663024902, -0.000418663024902)
@(5, 0x0000000F, 0x817F608E, -0.000418663024902, -0.000418663024902)
@(5, 0x0000000F, 0x837F408C, -0.000418663024902, -0.000418663024902)
@(5, 0x0000000F, 0x837F608E, -0.000418663024902, -0.000418663024902)
@(5, 0x0000000F, 0x842A408C, -0.000418663024902, -0.000418663024902)
@(5, 0x0000000F, 0x842A608E, -0.000418663024902, -0.000418663024902)
@(5, 0x0000000F, 0x862A408C, -0.000418663024902, -0.000418663024902)
@(5, 0x0000000F, 0x862A608E, -0.000418663024902, -0.000418663024902)
@(5, 0x0000000F, 0x89F7408C, -0.000418663024902, -0.000418663024902)
@(5, 0x0000000F, 0x89F7608E, -0.000418663024902, -0.000418663024902)
@(5, 0x000D0000, 0x824CC084, -0.000409126281738, -0.000409126281738)
@(5, 0x00010000, 0x10980011, -0.000396728515625, -0.000396728515625)
@(5, 0x00010000, 0x10980455, 0.000396728515625, 0.000396728515625)
@(5, 0x00010000, 0x10980899, 0.000396728515625, 0.000396728515625)
@(5, 0x00010000, 0x10980CDD, 0.000396728515625, 0.000396728515625)
@(5, 0x00050000, 0x208A802A, 0.000389099121094, 0.000389099121094)
@(5, 0x00050000, 0x208A807F, 0.000389099121094, 0.000389099121094)
@(5, 0x00050000, 0x208A80A2, 0.000389099121094, 0.000389099121094)
@(5, 0x00050000, 0x208A80F7, 0.000389099121094, 0.000389099121094)
@(5, 0x00050000, 0x208A852A, 0.000389099121094, 0.000389099121094)
@(5, 0x00050000, 0x208A857F, 0.000389099121094, 0.000389099121094)
@(5, 0x00050000, 0x208A85A2, -0.000389099121094, -0.000389099121094)
@(5, 0x00050000, 0x208A85F7, -0.000389099121094, -0.000389099121094)
@(5, 0x00050000, 0x208A882A, -0.000389099121094, -0.000389099121094)
@(5, 0x00050000, 0x208A887F, 0.000389099121094, 0.000389099121094)
@(5, 0x0000000B, 0x802A208A, -0.000376701354980, -0.000376701354980)
@(5, 0x0000000B, 0x802A708F, -0.000376701354980, -0.000376701354980)
@(5, 0x0000000B, 0x802AA082, 0.000376701354980, 0.000376701354980)
@(5, 0x0000000B, 0x802AF087, -0.000376701354980, -0.000376701354980)
@(5, 0x0000000B, 0x807F208A, -0.000376701354980, -0.000376701354980)
@(5, 0x0000000B, 0x807F708F, -0.000376701354980, -0.000376701354980)
@(5, 0x0000000B, 0x807FA082, 0.000376701354980, 0.000376701354980)
@(5, 0x0000000B, 0x807FF087, -0.000376701354980, -0.000376701354980)
@(5, 0x0000000B, 0x80A2208A, -0.000376701354980, -0.000376701354980)
@(5, 0x0000000B, 0x80A2708F, -0.000376701354980, -0.000376701354980)
@(5, 0x00030000, 0x208A802A, -0.000373840332031, -0.000373840332031)
@(5, 0x00030000, 0x208A807F, -0.000373840332031, -0.000373840332031)
@(5, 0x00030000, 0x208A80A2, -0.000373840332031, -0.000373840332031)
@(5, 0x00030000, 0x208A80F7, -0.000373840332031, -0.000373840332031)
@(5, 0x00030000, 0x208A852A, -0.000373840332031, -0.000373840332031)
@(5, 0x00030000, 0x208A857F, -0.000373840332031, -0.000373840332031)
@(5, 0x00030000, 0x208A85A2, 0.000373840332031, 0.000373840332031)
@(5, 0x00030000, 0x208A85F7, 0.000373840332031, 0.000373840332031)
@(5, 0x00030000, 0x208A882A, 0.000373840332031, 0.000373840332031)
@(5, 0x00030000, 0x208A887F, -0.000373840332031, -0.000373840332031)
@(5, 0x00010000, 0x40400266, 0.000370025634766, 0.000370025634766)
@(5, 0x00010000, 0x42400044, 0.000370025634766, 0.000370025634766)
@(5, 0x0000000C, 0x00446042, -0.000366210937500, -0.000366210937500)
@(5, 0x0000000C, 0x02444040, -0.000366210937500, -0.000366210937500)
@(5, 0x0000000C, 0x02446042, 0.000366210937500, 0.000366210937500)
@(5, 0x00700000, 0x82808800, -0.000366210937500, -0.000366210937500)
@(5, 0x00700000, 0x87808800, 0.000366210937500, 0.000366210937500)
@(5, 0x00700000, 0x8A808800, 0.000366210937500, 0.000366210937500)
@(5, 0x00700000, 0x8F808800, 0.000366210937500, 0.000366210937500)
@(5, 0x00010000, 0x208A802A, -0.000358581542969, -0.000358581542969)
@(5, 0x00010000, 0x208A807F, -0.000358581542969, -0.000358581542969)
@(5, 0x00010000, 0x208A80A2, -0.000358581542969, -0.000358581542969)
@(5, 0x00010000, 0x208A80F7, -0.000358581542969, -0.000358581542969)
@(5, 0x00090000, 0x208AC16A, -0.000358581542969, -0.000358581542969)
@(5, 0x00090000, 0x208AC348, -0.000358581542969, -0.000358581542969)
@(5, 0x00090000, 0x208AC46A, -0.000358581542969, -0.000358581542969)
@(5, 0x00090000, 0x208AC648, -0.000358581542969, -0.000358581542969)
@(5, 0x00090000, 0x208AC96A, -0.000358581542969, -0.000358581542969)
@(5, 0x00090000, 0x208ACB48, -0.000358581542969, -0.000358581542969)
@(5, 0x00090000, 0x208ACC6A, 0.000358581542969, 0.000358581542969)
@(5, 0x00090000, 0x208ACE48, 0.000358581542969, 0.000358581542969)
@(5, 0x00090000, 0x408C817F, -0.000358581542969, -0.000358581542969)
@(5, 0x00090000, 0x408C837F, -0.000358581542969, -0.000358581542969)
@(5, 0x0000000A, 0x00444240, 0.000347137451172, 0.000347137451172)
@(5, 0x0000000A, 0x00444262, 0.000347137451172, 0.000347137451172)
@(5, 0x0000000A, 0x00446042, 0.000347137451172, 0.000347137451172)
@(5, 0x0000000A, 0x00446060, 0.000347137451172, 0.000347137451172)
@(5, 0x0000000A, 0x00664240, 0.000347137451172, 0.000347137451172)
@(5, 0x0000000A, 0x00664262, 0.000347137451172, 0.000347137451172)
@(5, 0x0000000A, 0x00666042, 0.000347137451172, 0.000347137451172)
@(5, 0x0000000A, 0x00666060, 0.000347137451172, 0.000347137451172)
@(5, 0x000A0000, 0x40400244, 0.000347137451172, 0.000347137451172)
@(5, 0x000A0000, 0x40400266, 0.000347137451172, 0.000347137451172)
@(5, 0x000A0000, 0x40620244, 0.000347137451172, 0.000347137451172)
@(5, 0x000A0000, 0x40620266, 0.000347137451172, 0.000347137451172)
@(5, 0x000A0000, 0x42400044, 0.000347137451172, 0.000347137451172)
@(5, 0x000A0000, 0x42400066, 0.000347137451172, 0.000347137451172)
@(5, 0x000A0000, 0x42620044, 0.000347137451172, 0.000347137451172)
@(5, 0x000A0000, 0x42620066, 0.000347137451172, 0.000347137451172)
@(5, 0x000C0000, 0x40400244, -0.000335693359375, -0.000335693359375)
@(5, 0x000C0000, 0x60420044, -0.000335693359375, -0.000335693359375)
@(5, 0x000C0000, 0x60420244, 0.000335693359375, 0.000335693359375)
