# Valid estimates generated by sparse beam search plus MITM verification
# Format required by the problem statement: @(r, u, v, VE, VT)
@(5, 0x00E00000, 0x00440E4A, 0.000255107879639, 0.000255107879639)
@(5, 0x00E00000, 0x0AEE0440, 0.000255107879639, 0.000255107879639)
@(5, 0x00E00000, 0x0AEE044A, 0.000255107879639, 0.000255107879639)
@(5, 0x00E00000, 0x0AEE0E40, 0.000255107879639, 0.000255107879639)
@(5, 0x00E00000, 0x0AEE0E4A, 0.000255107879639, 0.000255107879639)
@(5, 0x0000000D, 0x84480088, -0.000251770019531, -0.000251770019531)
@(5, 0x0000000D, 0x844A0088, -0.000251770019531, -0.000251770019531)
@(5, 0x0000000D, 0x84680088, -0.000251770019531, -0.000251770019531)
@(5, 0x0000000D, 0x846A0088, -0.000251770019531, -0.000251770019531)
@(5, 0x0000000D, 0x86480088, 0.000251770019531, 0.000251770019531)
@(5, 0x0000000D, 0x864A0088, 0.000251770019531, 0.000251770019531)
@(5, 0x0000000D, 0x86680088, 0.000251770019531, 0.000251770019531)
@(5, 0x0000000D, 0x866A0088, 0.000251770019531, 0.000251770019531)
@(5, 0x00070000, 0x208AC9A6, 0.000251770019531, 0.000251770019531)
@(5, 0x00070000, 0x208ACDA6, 0.000251770019531, 0.000251770019531)
@(5, 0x0000000D, 0x80807043, -0.000247955322266, -0.000247955322266)
@(5, 0x0000000D, 0x80807061, -0.000247955322266, -0.000247955322266)
@(5, 0x00000006, 0x802A208A, 0.000246047973633, 0.000246047973633)
@(5, 0x00000006, 0x802A708F, 0.000246047973633, 0.000246047973633)
@(5, 0x00000006, 0x802AA082, -0.000246047973633, -0.000246047973633)
@(5, 0x00000006, 0x807F208A, 0.000246047973633, 0.000246047973633)
@(5, 0x00000006, 0x807F708F, 0.000246047973633, 0.000246047973633)
@(5, 0x00000006, 0x807FA082, -0.000246047973633, -0.000246047973633)
@(5, 0x00000006, 0x80A2208A, 0.000246047973633, 0.000246047973633)
@(5, 0x00000006, 0x80A2708F, 0.000246047973633, 0.000246047973633)
@(5, 0x00000006, 0x80A2A082, -0.000246047973633, -0.000246047973633)
@(5, 0x00000008, 0x00444A40, -0.000245571136475, -0.000245571136475)
@(5, 0x00000008, 0x0044E04A, -0.000245571136475, -0.000245571136475)
@(5, 0x00000008, 0x0044EA4A, -0.000245571136475, -0.000245571136475)
@(5, 0x00000008, 0x00EE4040, -0.000245571136475, -0.000245571136475)
@(5, 0x00000008, 0x00EE4A40, -0.000245571136475, -0.000245571136475)
@(5, 0x00000008, 0x00EEE04A, -0.000245571136475, -0.000245571136475)
@(5, 0x00000008, 0x00EEEA4A, -0.000245571136475, -0.000245571136475)
@(5, 0x00080000, 0x404000EE, -0.000245571136475, -0.000245571136475)
@(5, 0x00080000, 0x40400A44, -0.000245571136475, -0.000245571136475)
@(5, 0x00080000, 0x40400AEE, -0.000245571136475, -0.000245571136475)
@(5, 0x00080000, 0x4A400044, -0.000245571136475, -0.000245571136475)
@(5, 0x00080000, 0x4A4000EE, -0.000245571136475, -0.000245571136475)
@(5, 0x00080000, 0x4A400A44, -0.000245571136475, -0.000245571136475)
@(5, 0x00000002, 0x002228A8, 0.000244140625000, 0.000244140625000)
@(5, 0x00000002, 0x0022A028, -0.000244140625000, -0.000244140625000)
@(5, 0x00000002, 0x00AA2820, -0.000244140625000, -0.000244140625000)
@(5, 0x00000004, 0x00444515, 0.000244140625000, 0.000244140625000)
@(5, 0x000000A0, 0x02200577, -0.000244140625000, -0.000244140625000)
@(5, 0x000000A0, 0x02200DAA, 0.000244140625000, 0.000244140625000)
@(5, 0x000000A0, 0x02250022, -0.000244140625000, -0.000244140625000)
@(5, 0x000000A0, 0x022508AA, 0.000244140625000, 0.000244140625000)
@(5, 0x000000A0, 0x02280577, -0.000244140625000, -0.000244140625000)
@(5, 0x000000A0, 0x02280DAA, 0.000244140625000, 0.000244140625000)
@(5, 0x0000F000, 0x80C88C88, 0.000244140625000, 0.000244140625000)
@(5, 0x0000F000, 0x80C8C8C8, 0.000244140625000, 0.000244140625000)
@(5, 0x0000F000, 0x84CC88CC, 0.000244140625000, 0.000244140625000)
@(5, 0x0000F000, 0x84CCCC8C, 0.000244140625000, 0.000244140625000)
@(5, 0x00020000, 0x20200822, -0.000244140625000, -0.000244140625000)
@(5, 0x00020000, 0x20A808AA, 0.000244140625000, 0.000244140625000)
@(5, 0x00020000, 0x282000AA, -0.000244140625000, -0.000244140625000)
@(5, 0x00020000, 0x28A80022, 0.000244140625000, 0.000244140625000)
@(5, 0x00A00000, 0x00220225, -0.000244140625000, -0.000244140625000)
@(5, 0x00A00000, 0x00220720, -0.000244140625000, -0.000244140625000)
@(5, 0x00A00000, 0x00220725, -0.000244140625000, -0.000244140625000)
@(5, 0x00A00000, 0x00220F25, 0.000244140625000, 0.000244140625000)
@(5, 0x00A00000, 0x00220F28, 0.000244140625000, 0.000244140625000)
@(5, 0x00A00000, 0x00220F75, 0.000244140625000, 0.000244140625000)
@(5, 0x00A00000, 0x00220F7D, 0.000244140625000, 0.000244140625000)
@(5, 0xF0000000, 0x88CC84CC, 0.000244140625000, 0.000244140625000)
@(5, 0xF0000000, 0x8C8880C8, 0.000244140625000, 0.000244140625000)
@(5, 0x00000007, 0x40AE2046, 0.000238418579102, 0.000238418579102)
@(5, 0x00000007, 0x40AE2064, 0.000238418579102, 0.000238418579102)
@(5, 0x00000007, 0x40AE2246, 0.000238418579102, 0.000238418579102)
@(5, 0x00000007, 0x40AE2264, 0.000238418579102, 0.000238418579102)
@(5, 0x00000007, 0x40AE2420, -0.000238418579102, -0.000238418579102)
@(5, 0x00000007, 0x40AE2620, -0.000238418579102, -0.000238418579102)
@(5, 0x00070000, 0x204640AE, 0.000238418579102, 0.000238418579102)
@(5, 0x00070000, 0x2046E82C, 0.000238418579102, 0.000238418579102)
@(5, 0x00070000, 0x206440AE, 0.000238418579102, 0.000238418579102)
@(5, 0x00070000, 0x2064E82C, 0.000238418579102, 0.000238418579102)
@(5, 0x00070000, 0x217540AE, -0.000238418579102, -0.000238418579102)
@(5, 0x00070000, 0x2175E82C, -0.000238418579102, -0.000238418579102)
