PDF-compliant scoring report
Rule: valid iff VE in [VT-|VT|*2^(-2r), VT+|VT|*2^(-2r)], VE!=0, u!=0, v!=0
This solver computes VE and VT by exact sparse correlation composition, so VE = VT.

=== r = 1 ===
No  u           v           VE                 VT                 Score
227  0x04000000  0x00000AAA     -0.500000000000     -0.500000000000    1.0000
228  0x04000000  0x00000FFF      0.500000000000      0.500000000000    1.0000
229  0x05000000  0x00000888     -0.500000000000     -0.500000000000    1.0000
230  0x05000000  0x00000FFF      0.500000000000      0.500000000000    1.0000
231  0x06000000  0x00000222     -0.500000000000     -0.500000000000    1.0000
232  0x06000000  0x00000333      0.500000000000      0.500000000000    1.0000
233  0x06000000  0x00000AAA     -0.500000000000     -0.500000000000    1.0000
234  0x06000000  0x00000BBB     -0.500000000000     -0.500000000000    1.0000
235  0x07000000  0x00000BBB      0.500000000000      0.500000000000    1.0000
236  0x07000000  0x00000CCC      0.500000000000      0.500000000000    1.0000
237  0x08000000  0x00000444      0.500000000000      0.500000000000    1.0000
238  0x08000000  0x00000EEE      0.500000000000      0.500000000000    1.0000
239  0x09000000  0x00000888     -0.500000000000     -0.500000000000    1.0000
240  0x09000000  0x00000CCC      0.500000000000      0.500000000000    1.0000
241  0x0A000000  0x00000444     -0.500000000000     -0.500000000000    1.0000
242  0x0A000000  0x00000EEE      0.500000000000      0.500000000000    1.0000
243  0x0B000000  0x00000999     -0.500000000000     -0.500000000000    1.0000
244  0x0B000000  0x00000DDD      0.500000000000      0.500000000000    1.0000
245  0x0C000000  0x00000444     -0.500000000000     -0.500000000000    1.0000
246  0x0C000000  0x00000666      0.500000000000      0.500000000000    1.0000
247  0x0D000000  0x00000888     -0.500000000000     -0.500000000000    1.0000
248  0x0D000000  0x00000CCC     -0.500000000000     -0.500000000000    1.0000
249  0x0E000000  0x00000444     -0.500000000000     -0.500000000000    1.0000
250  0x0E000000  0x00000666     -0.500000000000     -0.500000000000    1.0000
251  0x0F000000  0x00000111      0.500000000000      0.500000000000    1.0000
252  0x0F000000  0x00000555      0.500000000000      0.500000000000    1.0000
253  0x10000000  0x07000000     -0.500000000000     -0.500000000000    1.0000
254  0x10000000  0x08000000      0.500000000000      0.500000000000    1.0000
255  0x20000000  0x01000000      0.500000000000      0.500000000000    1.0000
256  0x20000000  0x05000000     -0.500000000000     -0.500000000000    1.0000
257  0x20000000  0x09000000     -0.500000000000     -0.500000000000    1.0000
258  0x20000000  0x0D000000     -0.500000000000     -0.500000000000    1.0000
259  0x30000000  0x03000000      0.500000000000      0.500000000000    1.0000
260  0x30000000  0x0C000000      0.500000000000      0.500000000000    1.0000
261  0x40000000  0x02000000      0.500000000000      0.500000000000    1.0000
262  0x40000000  0x07000000      0.500000000000      0.500000000000    1.0000
263  0x40000000  0x0A000000     -0.500000000000     -0.500000000000    1.0000
264  0x40000000  0x0F000000      0.500000000000      0.500000000000    1.0000
265  0x50000000  0x08000000     -0.500000000000     -0.500000000000    1.0000
266  0x50000000  0x0F000000      0.500000000000      0.500000000000    1.0000
267  0x60000000  0x02000000     -0.500000000000     -0.500000000000    1.0000
268  0x60000000  0x03000000      0.500000000000      0.500000000000    1.0000
269  0x60000000  0x0A000000     -0.500000000000     -0.500000000000    1.0000
270  0x60000000  0x0B000000     -0.500000000000     -0.500000000000    1.0000
271  0x70000000  0x0B000000      0.500000000000      0.500000000000    1.0000
272  0x70000000  0x0C000000      0.500000000000      0.500000000000    1.0000
273  0x80000000  0x04000000      0.500000000000      0.500000000000    1.0000
274  0x80000000  0x0E000000      0.500000000000      0.500000000000    1.0000
275  0x90000000  0x08000000     -0.500000000000     -0.500000000000    1.0000
276  0x90000000  0x0C000000      0.500000000000      0.500000000000    1.0000
277  0xA0000000  0x04000000     -0.500000000000     -0.500000000000    1.0000
278  0xA0000000  0x0E000000      0.500000000000      0.500000000000    1.0000
279  0xB0000000  0x09000000     -0.500000000000     -0.500000000000    1.0000
280  0xB0000000  0x0D000000      0.500000000000      0.500000000000    1.0000
281  0xC0000000  0x04000000     -0.500000000000     -0.500000000000    1.0000
282  0xC0000000  0x06000000      0.500000000000      0.500000000000    1.0000
283  0xD0000000  0x08000000     -0.500000000000     -0.500000000000    1.0000
284  0xD0000000  0x0C000000     -0.500000000000     -0.500000000000    1.0000
285  0xE0000000  0x04000000     -0.500000000000     -0.500000000000    1.0000
