PDF-compliant scoring report (Way-2 approximation) [Optimized v2]
Rule: valid iff |VE-VT| <= |VT|*2^(-2r), VE!=0, u!=0, v!=0

=== r = 1 ===
No  u           v           VE                 VT                 Score   Exact?
169  0x0000A000  0x00000E00              0.5000              0.5000    1.0000  Y
170  0x0000A000  0x00000400             -0.5000             -0.5000    1.0000  Y
171  0x0000B000  0x00000D00              0.5000              0.5000    1.0000  Y
172  0x0000B000  0x00000900             -0.5000             -0.5000    1.0000  Y
173  0x0000C000  0x00000600              0.5000              0.5000    1.0000  Y
174  0x0000C000  0x00000400             -0.5000             -0.5000    1.0000  Y
175  0x0000D000  0x00000C00             -0.5000             -0.5000    1.0000  Y
176  0x0000D000  0x00000800             -0.5000             -0.5000    1.0000  Y
177  0x0000E000  0x00000600             -0.5000             -0.5000    1.0000  Y
178  0x0000E000  0x00000400             -0.5000             -0.5000    1.0000  Y
179  0x0000F000  0x00000500              0.5000              0.5000    1.0000  Y
180  0x0000F000  0x00000100              0.5000              0.5000    1.0000  Y
181  0x00000100  0x08880000              0.5000              0.5000    1.0000  Y
182  0x00000100  0x07770000             -0.5000             -0.5000    1.0000  Y
183  0x00000200  0x0DDD0000             -0.5000             -0.5000    1.0000  Y
184  0x00000200  0x09990000             -0.5000             -0.5000    1.0000  Y
185  0x00000200  0x05550000             -0.5000             -0.5000    1.0000  Y
186  0x00000200  0x01110000              0.5000              0.5000    1.0000  Y
187  0x00000300  0x0CCC0000              0.5000              0.5000    1.0000  Y
188  0x00000300  0x03330000              0.5000              0.5000    1.0000  Y
189  0x00000400  0x0FFF0000              0.5000              0.5000    1.0000  Y
190  0x00000400  0x0AAA0000             -0.5000             -0.5000    1.0000  Y
191  0x00000400  0x07770000              0.5000              0.5000    1.0000  Y
192  0x00000400  0x02220000              0.5000              0.5000    1.0000  Y
193  0x00000500  0x0FFF0000              0.5000              0.5000    1.0000  Y
194  0x00000500  0x08880000             -0.5000             -0.5000    1.0000  Y
195  0x00000600  0x0BBB0000             -0.5000             -0.5000    1.0000  Y
196  0x00000600  0x0AAA0000             -0.5000             -0.5000    1.0000  Y
197  0x00000600  0x03330000              0.5000              0.5000    1.0000  Y
198  0x00000600  0x02220000             -0.5000             -0.5000    1.0000  Y
199  0x00000700  0x0CCC0000              0.5000              0.5000    1.0000  Y
200  0x00000700  0x0BBB0000              0.5000              0.5000    1.0000  Y
201  0x00000800  0x0EEE0000              0.5000              0.5000    1.0000  Y
202  0x00000800  0x04440000              0.5000              0.5000    1.0000  Y
203  0x00000900  0x0CCC0000              0.5000              0.5000    1.0000  Y
204  0x00000900  0x08880000             -0.5000             -0.5000    1.0000  Y
205  0x00000A00  0x0EEE0000              0.5000              0.5000    1.0000  Y
206  0x00000A00  0x04440000             -0.5000             -0.5000    1.0000  Y
207  0x00000B00  0x0DDD0000              0.5000              0.5000    1.0000  Y
208  0x00000B00  0x09990000             -0.5000             -0.5000    1.0000  Y
209  0x00000C00  0x06660000              0.5000              0.5000    1.0000  Y
210  0x00000C00  0x04440000             -0.5000             -0.5000    1.0000  Y
211  0x00000D00  0x0CCC0000             -0.5000             -0.5000    1.0000  Y
212  0x00000D00  0x08880000             -0.5000             -0.5000    1.0000  Y
213  0x00000E00  0x06660000             -0.5000             -0.5000    1.0000  Y
214  0x00000E00  0x04440000             -0.5000             -0.5000    1.0000  Y
215  0x00000F00  0x05550000              0.5000              0.5000    1.0000  Y
216  0x00000F00  0x01110000              0.5000              0.5000    1.0000  Y
217  0x00000010  0x00000808              0.5000              0.5000    1.0000  Y
218  0x00000010  0x00000707             -0.5000             -0.5000    1.0000  Y
219  0x00000020  0x00000D0D             -0.5000             -0.5000    1.0000  Y
220  0x00000020  0x00000909             -0.5000             -0.5000    1.0000  Y
221  0x00000020  0x00000505             -0.5000             -0.5000    1.0000  Y
222  0x00000020  0x00000101              0.5000              0.5000    1.0000  Y
223  0x00000030  0x00000C0C              0.5000              0.5000    1.0000  Y
224  0x00000030  0x00000303              0.5000              0.5000    1.0000  Y
225  0x00000040  0x00000F0F              0.5000              0.5000    1.0000  Y
226  0x00000040  0x00000A0A             -0.5000             -0.5000    1.0000  Y
227  0x00000040  0x00000707              0.5000              0.5000    1.0000  Y
